;Sample No;MS_RGA;Freq_MS_RGA;MCS_RGA;Freq_MCS_RGA;MS_A;Freq_MS_A;MCS_A;Freq_MCS_A;MS_D;Freq_MS_D;MCS_D;Freq_MCS_D
0;1.0;2.51093227056;1.70107347371;3.80624693447;1e-10;1.0722547632;0.102305972984;3.80624693447;1e-10;1.0722547632;0.102305972984;3.80624693447;1e-10
1;2.0;8.66208200896;0.298777256283;4.0794781472;1e-10;1.10597689102;1.05999186013;4.0794781472;1e-10;1.10597689102;1.05999186013;4.0794781472;1e-10
2;3.0;3.13820670828;1.11199954735;3.66351548163;1e-10;1.0870439969;0.97184892783;3.66351548163;1e-10;1.0870439969;0.97184892783;3.66351548163;1e-10
3;4.0;1.47231212892;1.68586456462;3.42045226028;1e-10;1.10879427295;0.128828218472;3.42045226028;1e-10;1.10879427295;0.128828218472;3.42045226028;1e-10
4;5.0;2.01128044157;1.55031176174;3.88947282501;1e-10;1.03093400434;1.28768898612;3.88947282501;1e-10;1.03093400434;1.28768898612;3.88947282501;1e-10
5;6.0;2.20150702436;0.443572584724;3.77057869457;1e-10;1.14479501995;0.0867748435595;3.77057869457;1e-10;1.14479501995;0.0867748435595;3.77057869457;1e-10
6;7.0;1.1062522386;4.22632213374;3.54129983828;1e-10;1.16188756397;0.0946449856593;3.54129983828;1e-10;1.16188756397;0.0946449856593;3.54129983828;1e-10
7;8.0;2.65063832946;1.75276774435;3.43619645613;1e-10;1.05568594604;1.29154966501;3.43619645613;1e-10;1.05568594604;1.29154966501;3.43619645613;1e-10
8;9.0;1.40598977107;2.01757869411;3.28637529216;1e-10;1.02639591813;1.69091903181;3.28637529216;1e-10;1.02639591813;1.69091903181;3.28637529216;1e-10
9;10.0;2.38679316231;1.54567759547;3.49353412229;1e-10;1.04225139905;1.34683046445;3.49353412229;1e-10;1.04225139905;1.34683046445;3.49353412229;1e-10
