;Sample No;MS_RGA;Freq_MS_RGA;MCS_RGA;Freq_MCS_RGA;MS_A;Freq_MS_A;MCS_A;Freq_MCS_A;MS_D;Freq_MS_D;MCS_D;Freq_MCS_D
0;1.0;1.86740185885;1.44283251758;3.76955982348;1e-10;1.03875436774;1.25721612028;3.76955982348;1e-10;1.03875436774;1.25721612028;3.76955982348;1e-10
1;2.0;2.11150050529;1.68082520615;3.30839653143;1e-10;1.0486214493;1.36305522328;3.30839653143;1e-10;1.0486214493;1.36305522328;3.30839653143;1e-10
2;3.0;2.51210527201;1.52727904067;4.09070771811;1e-10;1.0349511373;1.03490739479;4.09070771811;1e-10;1.0349511373;1.03490739479;4.09070771811;1e-10
3;4.0;3.50718375124;0.0937987864763;3.39917413466;1e-10;1.0824467219;1.97573900132;3.39917413466;1e-10;1.0824467219;1.97573900132;3.39917413466;1e-10
4;5.0;2.40504042988;0.519842266069;3.79553384717;1e-10;1.0594927056;1.62151508059;3.79553384717;1e-10;1.0594927056;1.62151508059;3.79553384717;1e-10
5;6.0;3.37826890682;1.08893937151;3.83181828567;1e-10;1.10903682146;0.915368913892;3.83181828567;1e-10;1.10903682146;0.915368913892;3.83181828567;1e-10
6;7.0;5.30731046253;1.6558534688;3.50684187771;1e-10;1.01752805108;2.16787183654;3.50684187771;1e-10;1.01752805108;2.16787183654;3.50684187771;1e-10
7;8.0;3.03005337731;1.18415169436;3.53636917595;1e-10;1.06206619632;1.15959525785;3.53636917595;1e-10;1.06206619632;1.15959525785;3.53636917595;1e-10
8;9.0;1.19127429545;1.60221381482;3.96370526726;1e-10;1.12489127262;0.0875576767333;3.96370526726;1e-10;1.12489127262;0.0875576767333;3.96370526726;1e-10
9;10.0;2.23878769603;1.54105728157;3.77947797083;1e-10;1.02508141345;1.38775957163;3.77947797083;1e-10;1.02508141345;1.38775957163;3.77947797083;1e-10
