;Degree;MS_RGA;w_MS_RGA;Grad_RGA;MS_A;w_MS_A;Grad_A;MS_D;w_MS_D;Grad_D;w_0.1_RGA;w_0.1_A;w_0.1_D;w_0.5_RGA;w_0.5_A;w_0.5_D;w_1.0_RGA;w_1.0_A;w_1.0_D
0;1.0;1.04981493002;0.0275133805035;1.1235885462;1.03223157602;0.211852017036;1.49365242885;1.04981493002;0.0275133805035;1.1235885462;1.02426120819;1.00780333193;1.02426120819;1.02426120819;1.00780333193;1.02426120819;1.02426120819;1.00780333193;1.02426120819
1;1.0;1.09796266994;0.016761868617;0.885064796658;1.09071038821;0.122126154103;1.33159277964;1.09796266994;0.016761868617;0.885064796658;1.03431929375;1.08824288243;1.03431929375;1.03431929375;1.08824288243;1.03431929375;1.03431929375;1.08824288243;1.03431929375
2;1.0;1.11672389125;0.018963905949;0.867129564918;1.58309886285;0.0106145745173;1.12770332464;1.11672389125;0.018963905949;0.867129564918;1.0418841985;1.17315878921;1.0418841985;1.0418841985;1.17315878921;1.0418841985;1.0418841985;1.17315878921;1.0418841985
3;1.0;1.12268276099;0.0140966173639;0.682029830746;1.14206595922;0.09862781229;1.14561682153;1.12268276099;0.0140966173639;0.682029830746;1.03684586243;1.14205128901;1.03684586243;1.03684586243;1.14205128901;1.03684586243;1.03684586243;1.14205128901;1.03684586243
4;1.0;1.12900133513;0.0171050092088;0.599098913111;1.35207131694;0.00650251418297;0.860619492128;1.12900133513;0.0171050092088;0.599098913111;1.04757715941;1.17411823409;1.04757715941;1.04757715941;1.17411823409;1.04757715941;1.04757715941;1.17411823409;1.04757715941
5;1.0;1.11055734129;0.0153150532739;0.929411493561;1.16636350291;0.123256287029;1.4197114254;1.11055734129;0.0153150532739;0.929411493561;1.03413551777;1.16220743411;1.03413551777;1.03413551777;1.16220743411;1.03413551777;1.03413551777;1.16220743411;1.03413551777
6;1.0;1.1406903359;0.0134869265178;0.872169836301;1.14904882953;0.121229513086;1.39060231574;1.1406903359;0.0134869265178;0.872169836301;1.0487011342;1.14604098506;1.0487011342;1.0487011342;1.14604098506;1.0487011342;1.0487011342;1.14604098506;1.0487011342
7;1.0;1.11249890181;0.0153999301812;0.709734119109;1.36857243235;0.00500575911676;0.908232496738;1.11249890181;0.0153999301812;0.709734119109;1.03873076578;1.21394201219;1.03873076578;1.03873076578;1.21394201219;1.03873076578;1.03873076578;1.21394201219;1.03873076578
8;1.0;1.02543180976;0.0288101788673;1.05053246702;1.23503270167;0.074677078413;1.50870366646;1.02543180976;0.0288101788673;1.05053246702;1.01288804765;1.22230323052;1.01288804765;1.01288804765;1.22230323052;1.01288804765;1.01288804765;1.22230323052;1.01288804765
9;1.0;1.25403811358;0.0106734011006;0.630775785271;1.1566575659;0.00697403862649;0.955200398148;1.25403811358;0.0106734011006;0.630775785271;1.06081285814;1.13193503334;1.06081285814;1.06081285814;1.13193503334;1.06081285814;1.06081285814;1.13193503334;1.06081285814
10;2.0;1.02559581561;0.0258428992297;0.993833885218;1.04768027801;0.0941883957145;1.33900980347;1.02559581561;0.0258428992297;0.993833885218;1.0104260115;1.0473766528;1.0104260115;1.0104260115;1.0473766528;1.0104260115;1.0104260115;1.0473766528;1.0104260115
11;2.0;1.02054242372;0.0096627003057;0.989491216499;1.44567893909;0.0305034129966;1.32747815674;1.02054242372;0.0096627003057;0.989491216499;0.995249922793;1.07270761876;0.995249922793;0.995249922793;1.07270761876;0.995249922793;0.995249922793;1.07270761876;0.995249922793
12;2.0;1.07428672326;0.00489631090657;0.743162018877;1.15508941154;0.0114896296628;0.898682617076;1.07428672326;0.00489631090657;0.743162018877;0.994368728802;1.00897701256;0.994368728802;0.994368728802;1.00897701256;0.994368728802;0.994368728802;1.00897701256;0.994368728802
13;2.0;1.00894466758;0.0288633034049;1.02536299359;1.00759058142;0.143620264287;1.40324026726;1.00894466758;0.0288633034049;1.02536299359;0.999735622398;1.00338885509;0.999735622398;0.999735622398;1.00338885509;0.999735622398;0.999735622398;1.00338885509;0.999735622398
14;2.0;1.11282350261;0.00738391738065;0.907958992608;0.999999999396;1000.0;1.29498932012;1.11282350261;0.00738391738065;0.907958992608;0.988056574185;0.953421599136;0.988056574185;0.988056574185;0.953421599136;0.988056574185;0.988056574185;0.953421599136;0.988056574185
15;2.0;1.2885561413;0.0062212748422;0.642860702809;2.58334033816;0.167040692673;1.41645573359;1.2885561413;0.0062212748422;0.642860702809;1.00296183837;1.79945981529;1.00296183837;1.00296183837;1.79945981529;1.00296183837;1.00296183837;1.79945981529;1.00296183837
16;2.0;1.24478898859;0.00573688134572;0.770841107697;0.999999999616;1000.0;1.26491290756;1.24478898859;0.00573688134572;0.770841107697;0.994857319879;0.969169947094;0.994857319879;0.994857319879;0.969169947094;0.994857319879;0.994857319879;0.969169947094;0.994857319879
17;2.0;1.09786454371;0.00531952172946;0.755721529685;5.01325659011;0.248221550425;2.14208982735;1.09786454371;0.00531952172946;0.755721529685;0.991954781314;1.0602188182;0.991954781314;0.991954781314;1.0602188182;0.991954781314;0.991954781314;1.0602188182;0.991954781314
18;2.0;1.03681669589;0.0130230129119;0.96864826367;1.00717484126;0.0815814009846;1.3210862361;1.03681669589;0.0130230129119;0.96864826367;1.00073990887;1.00652653396;1.00073990887;1.00073990887;1.00652653396;1.00073990887;1.00073990887;1.00652653396;1.00073990887
19;2.0;0.999999999833;1000.0;0.971317405552;0.999999999667;1000.0;1.43298385511;0.999999999833;1000.0;0.971317405552;0.986558477809;0.961421186795;0.986558477809;0.986558477809;0.961421186795;0.986558477809;0.986558477809;0.961421186795;0.986558477809
20;3.0;1.03857778361;0.014332291467;0.912242425636;1.0975173256;0.068989639946;1.20749596009;1.03857778361;0.014332291467;0.912242425636;0.994223002816;1.07700387885;0.994223002816;0.994223002816;1.07700387885;0.994223002816;0.994223002816;1.07700387885;0.994223002816
21;3.0;1.00000703841;0.477384030433;1.01249388607;1.17771844362;0.0121648990933;1.01950677166;1.00000703841;0.477384030433;1.01249388607;0.997478493427;1.03249142769;0.997478493427;0.997478493427;1.03249142769;0.997478493427;0.997478493427;1.03249142769;0.997478493427
22;3.0;1.00052016715;0.140739123338;0.880006132892;1.00763985039;0.105196720328;1.1257793601;1.00052016715;0.140739123338;0.880006132892;1.00011844625;1.00757752975;1.00011844625;1.00011844625;1.00757752975;1.00011844625;1.00011844625;1.00757752975;1.00011844625
23;3.0;1.00359936588;0.00763287708485;0.918231269807;1.00000104319;0.840412395348;1.31967682579;1.00359936588;0.00763287708485;0.918231269807;0.999936148074;0.995587937675;0.999936148074;0.999936148074;0.995587937675;0.999936148074;0.999936148074;0.995587937675;0.999936148074
24;3.0;1.01254260778;0.0423411526166;0.956917331678;2.06470512189;0.0154567759547;1.12808322428;1.01254260778;0.0423411526166;0.956917331678;1.00563205023;1.01305983946;1.00563205023;1.00563205023;1.01305983946;1.00563205023;1.00563205023;1.01305983946;1.00563205023
25;3.0;2.07384332497;0.00198531664148;-0.230947384401;1.18661466877;0.022926408883;0.771783707554;2.07384332497;0.00198531664148;-0.230947384401;1.01254014453;1.02764336;1.01254014453;1.01254014453;1.02764336;1.01254014453;1.01254014453;1.02764336;1.01254014453
26;3.0;1.0933418845;0.00645477321399;0.518848045095;1.25377638255;0.00312931689568;0.540782258384;1.0933418845;0.00645477321399;0.518848045095;1.00885484005;1.02527608637;1.00885484005;1.00885484005;1.02527608637;1.00885484005;1.00885484005;1.02527608637;1.00885484005
27;3.0;1.00000048397;1.03490739479;0.982418761358;1.00000144788;1.06390460886;1.25345798778;1.00000048397;1.03490739479;0.982418761358;0.996871731871;0.989335263406;0.996871731871;0.996871731871;0.989335263406;0.996871731871;0.996871731871;0.989335263406;0.996871731871
28;3.0;1.00235437677;0.134900326656;1.03695782944;1.94504681779;0.0223838606515;1.21184024765;1.00235437677;0.134900326656;1.03695782944;1.00172958068;1.03509647758;1.00172958068;1.00172958068;1.03509647758;1.00172958068;1.00172958068;1.03509647758;1.00172958068
29;3.0;1.30190366334;0.00432776456205;0.675344434655;1.04082112005;0.0532074685816;1.20976397094;1.30190366334;0.00432776456205;0.675344434655;1.01781410888;1.02322028916;1.01781410888;1.01781410888;1.02322028916;1.01781410888;1.01781410888;1.02322028916;1.01781410888
30;4.0;1.04310769687;0.00783230135397;0.789316525639;1.17071553031;0.0291841141037;1.09533079233;1.04310769687;0.00783230135397;0.789316525639;0.999986003547;1.04460811099;0.999986003547;0.999986003547;1.04460811099;0.999986003547;0.999986003547;1.04460811099;0.999986003547
31;4.0;1.00681389155;0.0770528450332;0.877064939146;1.78254610778;0.0139931210619;1.03551073553;1.00681389155;0.0770528450332;0.877064939146;1.00552681492;1.00114516337;1.00552681492;1.00552681492;1.00114516337;1.00552681492;1.00552681492;1.00114516337;1.00552681492
32;4.0;1.03914580762;0.0067465680968;0.734713306272;1.05946698062;0.062227076519;1.13848591329;1.03914580762;0.0067465680968;0.734713306272;1.0090184141;1.04130342001;1.0090184141;1.0090184141;1.04130342001;1.0090184141;1.0090184141;1.04130342001;1.0090184141
33;4.0;1.00103330889;0.11303301723;0.952966690685;1.41614952024;0.0158606153213;1.09560246896;1.00103330889;0.11303301723;0.952966690685;1.00094538653;1.02851853844;1.00094538653;1.00094538653;1.02851853844;1.00094538653;1.00094538653;1.02851853844;1.00094538653
34;4.0;1.0004065054;0.177838178922;1.00754456305;1.42754776281;0.0166081795836;1.15588275954;1.0004065054;0.177838178922;1.00754456305;0.998679045474;1.03319284842;0.998679045474;0.998679045474;1.03319284842;0.998679045474;0.998679045474;1.03319284842;0.998679045474
35;4.0;1.01697161331;0.0497015161305;0.726584104147;1.09475557285;0.0586646977805;1.1406402842;1.01697161331;0.0497015161305;0.726584104147;1.00843132441;1.05359010384;1.00843132441;1.00843132441;1.05359010384;1.00843132441;1.00843132441;1.05359010384;1.00843132441
