;Degree;MS_RGA;w_MS_RGA;Grad_RGA;MS_A;w_MS_A;Grad_A;MS_D;w_MS_D;Grad_D;w_0.01_RGA;w_0.01_A;w_0.01_D;w_0.02_RGA;w_0.02_A;w_0.02_D;w_0.1_RGA;w_0.1_A;w_0.1_D;w_0.00666666666667_RGA;w_0.00666666666667_A;w_0.00666666666667_D;w_0.005_RGA;w_0.005_A;w_0.005_D
726;1.0;1.01165750879;0.0366063439203;0.9553487936;0.999999999989;1000.0;1.14059019751;0.999999999997;1000.0;0.959906472062;0.985686873111;0.898795836609;0.974634019355;0.985686873111;0.898795836609;0.974634019355;0.985686873111;0.898795836609;0.974634019355;0.985686873111;0.898795836609;0.974634019355;0.985686873111;0.898795836609;0.974634019355
727;1.0;1.03155697678;0.0196756637919;0.992667461741;1.00869161553;0.0387577748836;1.10122964586;0.999999999995;1000.0;1.02730522439;1.01474092695;0.949903758653;0.958049045065;1.01474092695;0.949903758653;0.958049045065;1.01474092695;0.949903758653;0.958049045065;1.01474092695;0.949903758653;0.958049045065;1.01474092695;0.949903758653;0.958049045065
728;1.0;1.24705959378;0.00871553456105;0.956261124476;1.00797839119;0.0399908095684;1.10066794031;0.999999999987;1000.0;1.15011755844;1.24229515667;0.949195811118;0.890952790575;1.24229515667;0.949195811118;0.890952790575;1.24229515667;0.949195811118;0.890952790575;1.24229515667;0.949195811118;0.890952790575;1.24229515667;0.949195811118;0.890952790575
729;1.0;1.10029027761;0.0132651532363;0.851351587465;1.01500150706;0.0297267420582;1.08296691608;0.999999999997;1000.0;0.996865656553;1.09432846673;0.968123130727;0.966668155844;1.09432846673;0.968123130727;0.966668155844;1.09432846673;0.968123130727;0.966668155844;1.09432846673;0.968123130727;0.966668155844;1.09432846673;0.968123130727;0.966668155844
730;1.0;1.10798273546;0.0130230129119;0.807403297469;0.999999999994;1000.0;1.13459798249;0.999999999999;1000.0;0.960536216626;1.10273557138;0.904121479232;0.974519996932;1.10273557138;0.904121479232;0.974519996932;1.10273557138;0.904121479232;0.974519996932;1.10273557138;0.904121479232;0.974519996932;1.10273557138;0.904121479232;0.974519996932
731;1.0;1.01957183545;0.00892678488718;0.790236438579;0.99999999999;1000.0;1.141523115;1.00284822093;0.00826212400918;0.796682176111;1.01949962829;0.897953152691;1.00262741631;1.01949962829;0.897953152691;1.00262741631;1.01949962829;0.897953152691;1.00262741631;1.01949962829;0.897953152691;1.00262741631;1.01949962829;0.897953152691;1.00262741631
732;1.0;1.30308859825;0.00881240624249;0.969245234138;1.05578597338;0.0147067514142;1.04449252479;0.999999999983;1000.0;1.18337349786;1.29735276228;1.04438072229;0.859027260012;1.29735276228;1.04438072229;0.859027260012;1.29735276228;1.04438072229;0.859027260012;1.29735276228;1.04438072229;0.859027260012;1.29735276228;1.04438072229;0.859027260012
733;1.0;2.26591973802;0.00388203016657;0.111610729125;1.00531568748;0.0476395660445;1.10456228355;0.999999999995;1000.0;1.05264678826;1.86567918661;0.942757530694;0.949042860207;1.86567918661;0.942757530694;0.949042860207;1.86567918661;0.942757530694;0.949042860207;1.86567918661;0.942757530694;0.949042860207;1.86567918661;0.942757530694;0.949042860207
734;1.0;1.04815317377;0.0155998101111;1.05747654197;0.999999999989;1000.0;1.14108871123;0.999999999987;1000.0;1.1476817411;1.03382952189;0.898346009211;0.89300237598;1.03382952189;0.898346009211;0.89300237598;1.03382952189;0.898346009211;0.89300237598;1.03382952189;0.898346009211;0.89300237598;1.03382952189;0.898346009211;0.89300237598
735;1.0;1.08474415303;0.0141226108256;0.9048399151;1.01216531925;0.0333850749244;1.09257622195;0.999999999998;1000.0;1.00695814999;1.07618674953;0.958866659443;0.964046141408;1.07618674953;0.958866659443;0.964046141408;1.07618674953;0.958866659443;0.964046141408;1.07618674953;0.958866659443;0.964046141408;1.07618674953;0.958866659443;0.964046141408
736;1.0;1.1844993166;0.00815626164571;0.797193160242;1.00449678402;0.0527196110161;1.11072721033;0.999999999999;1000.0;0.998908309231;1.18084154237;0.936895741394;0.966153963536;1.18084154237;0.936895741394;0.966153963536;1.18084154237;0.936895741394;0.966153963536;1.18084154237;0.936895741394;0.966153963536;1.18084154237;0.936895741394;0.966153963536
737;1.0;1.23216684228;0.00750736530156;0.871790329561;1.01597459492;0.0285986567058;1.07853586803;0.99999999999;1000.0;1.13389863821;1.21895837223;0.971734670497;0.903923121134;1.21895837223;0.971734670497;0.903923121134;1.21895837223;0.971734670497;0.903923121134;1.21895837223;0.971734670497;0.903923121134;1.21895837223;0.971734670497;0.903923121134
738;1.0;1.10247498574;0.0112177302002;1.02690667188;0.99999999999;1000.0;1.14110938313;0.999999999986;1000.0;1.17708751421;1.10084346841;0.898327296176;0.86565183392;1.10084346841;0.898327296176;0.86565183392;1.10084346841;0.898327296176;0.86565183392;1.10084346841;0.898327296176;0.86565183392;1.10084346841;0.898327296176;0.86565183392
739;1.0;1.4996227531;0.00684673546267;0.804005556548;0.999999999995;1000.0;1.14266374374;0.99999999999;1000.0;1.19987730467;1.43960625098;0.896917826701;0.84023593119;1.43960625098;0.896917826701;0.84023593119;1.43960625098;0.896917826701;0.84023593119;1.43960625098;0.896917826701;0.84023593119;1.43960625098;0.896917826701;0.84023593119
740;1.0;2.70855952392;0.00116575331917;-1.27898986542;1.0000000015;61.472215814;0.877604918481;1.00000000013;46.8885828276;0.584128566537;1.99684085617;0.956650787597;0.997660521353;1.99684085617;0.956650787597;0.997660521353;1.99684085617;0.956650787597;0.997660521353;1.99684085617;0.956650787597;0.997660521353;1.99684085617;0.956650787597;0.997660521353
741;1.0;1.09192454906;0.0129990433222;0.916948941202;0.999999999995;1000.0;1.14606288103;0.999999999999;1000.0;1.05939566087;1.08673602536;0.893799454528;0.946314756299;1.08673602536;0.893799454528;0.946314756299;1.08673602536;0.893799454528;0.946314756299;1.08673602536;0.893799454528;0.946314756299;1.08673602536;0.893799454528;0.946314756299
742;1.0;1.15624777587;0.00929601529669;0.8680373217;0.999999999993;1000.0;1.14160490673;1.00023033491;0.0228000496944;0.951643293908;1.15586542679;0.897879107942;0.997131192294;1.15586542679;0.897879107942;0.997131192294;1.15586542679;0.897879107942;0.997131192294;1.15586542679;0.897879107942;0.997131192294;1.15586542679;0.897879107942;0.997131192294
