;Sample No.;Order;K;TSum;KM;TM;LM;MS Real;MS Ideal;Tr_RSW;Mp_RSW;Ts_RSW;Ys_RSW;Tr_R;Mp_R;Ts_R;Ys_R;Tr_ISW;Mp_ISW;Ts_ISW;Ys_ISW;Tr_I;Mp_I;Ts_I;Ys_I
0;1.0;1.0;9.332817570510166;7.95699411007043;9.324282080864826;1.5428929802831235;0.029536278049471454;1.0132727553485694;1.0872129125743257;0.2728610622354226;1.1074197654226126e-05;2.4557495601188037;1.0010445432011355;0.07796030349653219;0.07442564571316512;0.7016427314687896;1.0008346813953797;0.28914861239557504;;2.457763205362388;0.9999162313641418;0.07228715309890558;0.07788350222132778;0.6867279544396031;1.0015760951959138
1;2.0;1.0;7.5161633389137315;8.48987565248131;7.509306485688708;16.29921223524266;0.20368900138911883;1.011523905765743;1.384600331733618;0.7406452741352526;;7.1948398058853105;0.9974970126480526;0.1058064677538986;0.11178246408159342;1.2696776130467833;1.0014365610692726;0.8470942741978248;;7.5028350000378765;0.9985169267532805;0.36304040322961384;0.15539599161169826;0.968107741945637;1.0005721585965408
2;3.0;1.0;1.16650685178566;4.002495606570727;1.1654430323363278;17.632901266078857;0.20451695836704786;1.0027995097784876;1.3851161039553672;0.7530182497168811;;7.315034425821131;0.997543114468512;0.10757403054594947;0.11183691427370501;1.2908883665513935;1.0013998570877265;0.859988869883072;;7.61704427610721;0.9985290100816673;0.368566658518811;0.15621226510255837;0.9828444227168294;1.0005638415794231
3;4.0;1.0;3.2878152393003077;12.78217818481887;3.28481454501275;3.625714256652172;0.049409021595534064;1.0099734139356147;1.1647301118933104;0.32146959017223453;;3.0137774078646986;0.9955254067593349;0.040183698772053786;0.09731072710930921;0.6429391803528606;1.0036143936384057;0.3650076254360627;;3.1025648162065327;0.9974816902558994;0.09125190635915112;0.1126034226224506;0.5931373913344823;1.0013967496727332
4;5.0;1.0;7.520367106094863;5.504499767277893;7.513507037071182;19.01183080588231;0.23305369734664794;1.0093478302870067;1.395234171746113;0.8503051171959698;;8.260106852760849;0.9975104392715612;0.12147215816752628;0.1118099443134073;1.4576658980103154;1.001425851354984;0.9720585432026856;;8.609661382652359;0.9985201665125107;0.41659651851433416;0.15562224361893362;1.1109240493715578;1.000569925251112
5;6.0;1.0;5.220574311683132;12.806434221202892;5.215791290387834;1.5719810411555233;0.037546849519676906;1.0216624969096124;1.1120976169590548;0.27242267033593925;3.267558067676646e-06;2.4518040330234534;1.0009941717583668;0.07783504866766655;0.07630877727213226;0.700515438008999;1.0008774082338452;0.3192206635586656;;2.4473584206164363;0.9994567020106224;0.07093792523515306;0.08099898376746695;0.6739102897339541;1.001849586500242
6;7.0;1.0;3.081322267647856;12.99201968979071;3.0785120625044895;14.692551546846277;0.17219742352621203;1.0040700726329808;1.3963521924925941;0.6329780549104853;;6.148929676273286;0.9975375754694453;0.0904254366476531;0.11183737525028437;1.085105239771837;1.0014042362189883;0.7230028308648935;;6.403739359089056;0.9985273949793392;0.30985835608388024;0.15610758217156406;0.826288949557014;1.0005649512507895
7;8.0;1.0;1.1843823352288685;13.845335136786533;1.1833013901564975;5.854790558885713;0.07968977628472729;1.0163090207045917;1.2917857677893632;0.3299936904314277;;3.347078860090195;0.9966425414521761;0.04714195571037573;0.10776345871787218;0.6128454242348845;1.0021027910392228;0.38608851546388673;;3.4747966391749805;0.9983494166709075;0.11031100441978647;0.13664629728938427;2.8680861149144485;1.0007024734151277
8;9.0;1.0;1.9389143718887394;6.44648848577135;1.937144288054564;6.502171911017342;0.0933971209037967;1.0241021186136614;1.35674829895473;0.34562021692312894;;3.4068278525279854;0.9971742749975996;0.049374316750862325;0.11030660584244223;0.6418661177612103;1.0016930333956426;0.3993194019412808;;3.536828988622773;0.9984487366069766;0.17113688654806689;0.14734595874681533;0.5134106596442006;1.0006232437030624
9;10.0;1.0;3.798291509416177;14.590987476282132;3.7948263921405725;17.476453392892324;0.2185121751370005;1.0115670267958579;1.3911422523534915;0.7944719414304827;;7.717727431038975;0.9974966422387718;0.11349599174253554;0.11178160063286668;1.3619519009104264;1.0014368568847005;0.9086692682759936;;8.048213519015944;0.9985168398946279;0.38942968640545983;0.15538985254406623;1.038479163747893;1.0005722185141235
10;11.0;2.0;8.871980004980648;10.848937589988314;8.863886070770068;16.04210305589351;0.2014965047011934;1.0120860264540879;1.3859347816718552;0.7320024583396251;;7.110881023870644;0.9974932877879433;0.1045717797499148;0.11177354259930405;1.2548613569989775;1.0014395349703338;0.8373221628135534;;7.4162820134914735;0.9985160587348;0.35885235549122085;0.1553344742052034;0.9569396146432556;1.0005727573973793
11;12.0;2.0;0.31036467187401356;25.546306770839937;0.3100815382567751;13.72404450982208;0.1707149749409922;1.0109767221813515;1.3954357423378556;0.621260618879563;;6.03510315483004;0.9975003417486787;0.08875151680189783;0.11178998130806206;1.0650182016227738;1.0014339043911582;0.7104666197163916;;6.292704346059468;0.9985177132437101;0.30448569416655025;0.1554514044600177;0.8119618511108007;1.0005716161982758
12;13.0;2.0;8.958754612933753;17.909617073709715;8.950578595337143;5.576441332497846;0.07530535244114489;1.014771104299096;1.2731512106034715;0.3218593383033863;;3.3105531939776878;0.9962862612141762;0.04597990606237494;0.10667384273543101;0.6437186848732491;1.0023694237608738;0.3802207118196651;;3.421986406376986;0.998303586317129;0.10863448909354935;0.13332655009297723;0.5431724454677468;1.0007388814802276
