;omega;sigmax_b;sigmax_c;sigmax_s;sigmin_b;sigmin_c;sigmin_s
0;0.0;1.0000000000000124;1.0000000000000009;1.4104507929164824e-14;0.9999999999999634;0.9999999999999984;4.771320579960171e-15
1;0.010001000100010001;1.1743553271294016;1.4657696924424497;1.166465814241066;0.3563466916424489;0.2855002650189224;0.16601669479469158
2;0.020002000200020003;1.0075141521279407;1.2685502135106406;1.2344092443285875;0.18379935031784975;0.14597801856740839;0.31378502778668027
3;0.030003000300030003;0.8223334366808424;1.0208267401139717;1.2074846292583492;0.12037983897678775;0.09697274065445936;0.4365260267339708
4;0.040004000400040006;0.666586928424042;0.8123697305551313;1.1717847581283711;0.08622131644988079;0.07074857711403701;0.5304842330425719
5;0.05000500050005001;0.5445257383827062;0.6519060070111411;1.1405746497193552;0.06447801488298859;0.05385736335440612;0.6028106057484207
6;0.060006000600060005;0.4500658947245594;0.5305065115003278;1.1154776644313416;0.04958703178358433;0.04206815820178914;0.6599711355644066
7;0.07000700070007002;0.3764877956703457;0.43804479501072136;1.0957168571489324;0.038990112705840234;0.03351096001241322;0.7062662055756618
8;0.08000800080008001;0.3184765764687861;0.3666118195952832;1.080174130457319;0.03125208537313462;0.027148762386093837;0.744438173117406
9;0.09000900090009001;0.27214257850586215;0.31055230711100207;1.0678677315477152;0.025482020191251904;0.022330353180751994;0.7763002372756441
10;0.10001000100010002;0.2346788624980018;0.26589489424893004;1.058029238703395;0.021098255862214293;0.018621322973235523;0.8031247564022915
11;0.11001100110011001;0.20404610752552074;0.22983346622122425;1.0500797559783257;0.017709967764993558;0.015722906070485793;0.8258556451589696
12;0.12001200120012001;0.1787429308568399;0.20035604718572314;1.0435879762544864;0.01504913026041482;0.013425727349556753;0.8452224631425219
13;0.13001300130013002;0.15764789925265324;0.17599561009629974;1.0382323131966662;0.012928706045673942;0.011580876127450394;0.8618041310376529
14;0.14001400140014003;0.13991175283564886;0.15566470067649868;1.0337714672088794;0.011216044274322384;0.010081003706126192;0.8760673196153473
15;0.15001500150015;0.12488319872672939;0.1385448228251012;1.0300227576791825;0.009815595931190777;0.0088476999817411;0.8883917386100938
16;0.16001600160016002;0.11205704247007871;0.12401131564922911;1.0268464937410853;0.008657503001103482;0.007822948934782917;0.8990881627175696
17;0.17001700170017003;0.10103734474538843;0.11158143790062082;1.0241347574812978;0.007689957309240969;0.006963280718954471;0.908412021707325
18;0.18001800180018002;0.09151084828602221;0.100877865179372;1.0218033330510587;0.006874012805787062;0.006235726227757335;0.9165739999496009
19;0.19001900190019003;0.0832275446045912;0.09160260498626244;1.01978586141502;0.006180015379012308;0.005614987824924748;0.9237484562737242
20;0.20002000200020004;0.07598628435592196;0.08351807779769554;1.0180295709032918;0.005585112718217004;0.005081438413673004;0.9300801738517398
21;0.21002100210021002;0.06962400262233764;0.07643320932657074;1.0164921293667324;0.005071494566057617;0.004619690304855597;0.9356897953436668
22;0.22002200220022003;0.06400756892205994;0.0701930806456591;1.0151393007708858;0.0046251331972702574;0.004217560105555207;0.9406782095023605
23;0.23002300230023004;0.05902756520275486;0.06467113948644689;1.0139431838543653;0.0042348708047786595;0.0038653117742261742;0.9451300970681281
24;0.24002400240024002;0.05459349491195186;0.059763278570002125;1.0128808758791261;0.0038917504309439375;0.0035550971510388196;0.949116801367961
25;0.25002500250025006;0.05063006446537667;0.05538329067349927;1.0119334497550305;0.003588519924081008;0.0032805381663321477;0.9526986562215768
26;0.26002600260026004;0.04707427540196561;0.05145934964115138;1.0110851643210919;0.0033192602379953683;0.0030364117530177364;0.9559268776057691
27;0.27002700270027;0.043873134390071906;0.047931263395018596;1.0103228496580292;0.0030791040789319283;0.002818409963162936;0.9588451044678706
28;0.28002800280028006;0.040981837719611516;0.0447483131182556;1.0096354249317456;0.0028640208938546558;0.002622955690376203;0.9614906570973412
29;0.29002900290029004;0.03836232280613497;0.04186754127004482;1.0090135174157147;0.0026706510644853624;0.0024470598933747792;0.9638955678048884
30;0.3000300030003;0.035982105512291376;0.03925238598623336;1.0084491593650957;0.002496176948330734;0.0022882100727853846;0.96608742770762
31;0.31003100310031007;0.033813341497331326;0.03687158478859411;1.0079355452424905;0.0023382217641430897;0.0021442824864514208;0.9680900846655461
32;0.32003200320032005;0.03183206424760731;0.0346982891433854;1.0074668360625305;0.0021947697014290542;0.002013472543620859;0.9699242204337727
33;0.33003300330033003;0.030017563269384956;0.03270934519341662;1.0070380007734197;0.0020641023410478184;0.001894239229577734;0.9716078295344936
34;0.34003400340034007;0.028351874100811674;0.030884706276515912;1.006644686938519;0.001944747709295805;0.0017852604398244563;0.9731566179264176
35;0.35003500350035005;0.026819358013501004;0.0292069505828021;1.006283114739651;0.0018354391897674044;0.001685396857466241;0.9745843360245219
36;0.36003600360036003;0.02540635402657277;0.027660883167685755;1.0059499896521926;0.0017350821814311268;0.0015936625660512235;0.9759030578138729
37;0.37003700370037007;0.024100889512760307;0.02623320601208007;1.0056424301525155;0.001642726884494344;0.0015092010069117537;0.9771234155593131
38;0.38003800380038005;0.022892438506247413;0.024912243257783406;1.005357907592108;0.0015575459646877488;0.0014312652033810198;0.9782547978204181
39;0.39003900390039004;0.021771719024321838;0.023687711401747684;1.005094195969056;0.0014788161248970803;0.001359201411513089;0.9793055170450344
40;0.4000400040004001;0.020730522438093604;0.02255052629759031;1.0048493297899053;0.0014059028244459853;0.001292435537831559;0.9802829518614702
41;0.41004100410041006;0.019761569282658244;0.0214926404269585;1.004621568575577;0.001338247547996325;0.0012304618034771851;0.9811936682608473
