;omega;sigmax_b;sigmax_c;sigmax_s;sigmin_b;sigmin_c;sigmin_s
9379;93.7993799379938;1.153227304501522e-08;1.1644552845863912e-08;1.0000000113883918;4.525435715735621e-09;4.564129804983609e-09;1.000000004566611
9380;93.80938093809381;1.1529814269246214e-08;1.1642093955088241e-08;1.0000000113859682;4.524470855501654e-09;4.563164908672534e-09;1.0000000045656334
9381;93.81938193819383;1.1527356279740304e-08;1.1639635850563878e-08;1.0000000113835454;4.523506303809038e-09;4.562200320899102e-09;1.0000000045646555
9382;93.82938293829383;1.1524899076162299e-08;1.1637178531955627e-08;1.0000000113811234;4.522542060526238e-09;4.561236041531779e-09;1.000000004563678
9383;93.83938393839384;1.152244265817717e-08;1.1634721998928459e-08;1.000000011378702;4.521578125521781e-09;4.560272070439097e-09;1.0000000045627007
9384;93.84938493849386;1.1519987025450067e-08;1.1632266251147517e-08;1.0000000113762815;4.52061449866427e-09;4.559308407489648e-09;1.0000000045617239
9385;93.85938593859386;1.1517532177646323e-08;1.1629811288278153e-08;1.000000011373862;4.519651179822376e-09;4.558345052552112e-09;1.0000000045607476
9386;93.86938693869388;1.1515078114431442e-08;1.1627357109985852e-08;1.0000000113714427;4.51868816886484e-09;4.557382005495224e-09;1.000000004559771
9387;93.87938793879388;1.1512624835471127e-08;1.1624903715936323e-08;1.0000000113690244;4.5177254656604725e-09;4.5564192661878005e-09;1.0000000045587953
9388;93.88938893889389;1.1510172340431229e-08;1.1622451105795422e-08;1.000000011366607;4.516763070078154e-09;4.555456834498718e-09;1.0000000045578195
9389;93.8993899389939;1.15077206289778e-08;1.16199992792292e-08;1.0000000113641903;4.515800981986837e-09;4.554494710296929e-09;1.0000000045568442
9390;93.90939093909391;1.150526970077706e-08;1.1617548235903874e-08;1.0000000113617746;4.514839201255539e-09;4.553532893451455e-09;1.0000000045558695
9391;93.91939193919393;1.15028195554954e-08;1.1615097975485834e-08;1.0000000113593595;4.513877727753348e-09;4.552571383831384e-09;1.0000000045548945
9392;93.92939293929393;1.1500370192799415e-08;1.1612648497641675e-08;1.0000000113569452;4.512916561349431e-09;4.551610181305878e-09;1.0000000045539204
9393;93.93939393939394;1.149792161235584e-08;1.1610199802038139e-08;1.0000000113545315;4.511955701913014e-09;4.5506492857441646e-09;1.000000004552946
9394;93.94939493949396;1.1495473813831615e-08;1.1607751888342167e-08;1.0000000113521188;4.510995149313395e-09;4.549688697015543e-09;1.0000000045519726
9395;93.95939593959396;1.149302679689385e-08;1.1605304756220857e-08;1.0000000113497065;4.510034903419943e-09;4.548728414989382e-09;1.0000000045509991
9396;93.96939693969398;1.1490580561209832e-08;1.1602858405341508e-08;1.0000000113472955;4.5090749641020985e-09;4.547768439535122e-09;1.000000004550026
9397;93.97939793979398;1.1488135106447023e-08;1.160041283537157e-08;1.0000000113448848;4.508115331229365e-09;4.546808770522267e-09;1.0000000045490531
9398;93.98939893989399;1.1485690432273062e-08;1.1597968045978696e-08;1.0000000113424754;4.507156004671323e-09;4.545849407820398e-09;1.0000000045480808
9399;93.999399939994;1.1483246538355761e-08;1.1595524036830685e-08;1.0000000113400662;4.506196984297613e-09;4.544890351299155e-09;1.0000000045471082
9400;94.00940094009401;1.148080342436313e-08;1.159308080759556e-08;1.0000000113376584;4.505238269977962e-09;4.5439316008282615e-09;1.0000000045461368
9401;94.01940194019403;1.147836108996332e-08;1.159063835794146e-08;1.0000000113352507;4.504279861582144e-09;4.5429731562775e-09;1.000000004545165
9402;94.02940294029403;1.1475919534824686e-08;1.158819668753675e-08;1.000000011332844;4.50332175898002e-09;4.542015017516722e-09;1.0000000045441935
9403;94.03940394039404;1.1473478758615752e-08;1.1585755796049951e-08;1.000000011330438;4.502363962041511e-09;4.541057184415855e-09;1.0000000045432227
9404;94.04940494049406;1.1471038761005213e-08;1.1583315683149755e-08;1.000000011328033;4.501406470636606e-09;4.540099656844886e-09;1.000000004542252
9405;94.05940594059406;1.1468599541661957e-08;1.1580876348505052e-08;1.0000000113256289;4.500449284635376e-09;4.539142434673884e-09;1.000000004541282
9406;94.06940694069408;1.1466161100255016e-08;1.1578437791784874e-08;1.000000011323225;4.4994924039079404e-09;4.538185517772974e-09;1.0000000045403117
9407;94.07940794079408;1.146372343645363e-08;1.1576000012658465e-08;1.0000000113208223;4.498535828324508e-09;4.53722890601236e-09;1.0000000045393422
9408;94.08940894089409;1.14612865499272e-08;1.1573563010795216e-08;1.0000000113184202;4.497579557755344e-09;4.536272599262307e-09;1.0000000045383728
9409;94.09940994099411;1.1458850440345295e-08;1.1571126785864708e-08;1.000000011316019;4.496623592070785e-09;4.535316597393154e-09;1.0000000045374036
9410;94.10941094109411;1.1456415107377689e-08;1.1568691337536712e-08;1.0000000113136185;4.4956679311412434e-09;4.534360900275314e-09;1.0000000045364348
9411;94.11941194119413;1.1453980550694288e-08;1.1566256665481128e-08;1.0000000113112184;4.494712574837184e-09;4.5334055077792475e-09;1.0000000045354662
9412;94.12941294129413;1.145154676996522e-08;1.1563822769368089e-08;1.0000000113088197;4.4937575230291616e-09;4.532450419775515e-09;1.000000004534498
9413;94.13941394139414;1.1449113764860744e-08;1.1561389648867857e-08;1.0000000113064214;4.492802775587784e-09;4.531495636134723e-09;1.0000000045335302
9414;94.14941494149416;1.1446681535051334e-08;1.1558957303650895e-08;1.0000000113040242;4.491848332383734e-09;4.530541156727552e-09;1.0000000045325628
9415;94.15941594159416;1.1444250080207608e-08;1.1556525733387835e-08;1.0000000113016274;4.490894193287761e-09;4.52958698142475e-09;1.0000000045315955
9416;94.16941694169418;1.1441819400000373e-08;1.1554094937749473e-08;1.0000000112992313;4.489940358170687e-09;4.528633110097144e-09;1.0000000045306283
9417;94.17941794179418;1.1439389494100615e-08;1.1551664916406805e-08;1.0000000112968361;4.488986826903396e-09;4.527679542615618e-09;1.000000004529662
9418;94.18941894189419;1.1436960362179478e-08;1.1549235669030977e-08;1.0000000112944416;4.488033599356849e-09;4.526726278851123e-09;1.0000000045286954
9419;94.19941994199421;1.1434532003908307e-08;1.1546807195293316e-08;1.0000000112920484;4.487080675402067e-09;4.525773318674691e-09;1.0000000045277297
9420;94.20942094209421;1.1432104418958585e-08;1.1544379494865325e-08;1.0000000112896554;4.486128054910143e-09;4.524820661957414e-09;1.0000000045267639
