Time,Gascooler_Valve_System.HPValve.vleFluidB.d,Gascooler_Valve_System.HPValve.vleFluidB.h,Gascooler_Valve_System.HPValve.vleFluidB.p,Gascooler_Valve_System.HPValve.vleFluidB.s,Gascooler_Valve_System.HPValve.vleFluidB.T,Gascooler_Valve_System.HPValve.vleFluidB.M,Gascooler_Valve_System.HPValve.vleFluidB.q,Gascooler_Valve_System.HPValve.vleFluidB.cp,Gascooler_Valve_System.HPValve.vleFluidB.cv,Gascooler_Valve_System.HPValve.vleFluidA.d,Gascooler_Valve_System.HPValve.vleFluidA.h,Gascooler_Valve_System.HPValve.vleFluidA.p,Gascooler_Valve_System.HPValve.vleFluidA.s,Gascooler_Valve_System.HPValve.vleFluidA.T,Gascooler_Valve_System.HPValve.vleFluidA.M,Gascooler_Valve_System.HPValve.vleFluidA.q,Gascooler_Valve_System.HPValve.vleFluidA.cp,Gascooler_Valve_System.HPValve.vleFluidA.cv,Gascooler_Valve_System.HPValve.vleFluidA.w,Gascooler_Valve_System.HPValve.vleFluidA.kappa,Gascooler_Valve_System.HPValve.vleFluidA.beta,Gascooler_Valve_System.HPValve.vleFluidB.beta,Gascooler_Valve_System.HPValve.vleFluidB.kappa,Gascooler_Valve_System.HPValve.vleFluidB.w,Gascooler_Valve_System.HPValve.vleFluidB.drhodh_pxi,Gascooler_Valve_System.HPValve.vleFluidB.drhodp_hxi,Gascooler_Valve_System.HPValve.vleFluidB.gamma,Gascooler_Valve_System.HPValve.vleFluidA.drhodh_pxi,Gascooler_Valve_System.HPValve.vleFluidA.drhodp_hxi,Gascooler_Valve_System.HPValve.vleFluidA.gamma
4.98,414.448,350000,7.68454e+006,1489.53,306.123,0.0440098,1,56409.4,1456.22,235.869,420311,7.7e+006,1717.01,315.093,0.0440098,1,3300.44,963.534,213.772,3.17784e-007,0.0235778,0.48677,3.18479e-006,171.312,-0.00357637,4.27035e-005,38.7369,-0.00168501,2.90263e-005,3.42535
5,414.443,350000,7.68444e+006,1489.53,306.122,0.0440098,1,56423.3,1456.28,236.057,420199,7.7e+006,1716.65,315.059,0.0440098,1,3308.05,963.96,213.705,3.18321e-007,0.0236446,0.486892,3.18561e-006,171.308,-0.00357634,4.2705e-005,38.7447,-0.00168724,2.90439e-005,3.43173
5.02,414.439,350000,7.68434e+006,1489.53,306.121,0.0440098,1,56437.4,1456.35,236.246,420088,7.7e+006,1716.3,315.026,0.0440098,1,3315.68,964.387,213.638,3.18859e-007,0.0237116,0.487015,3.18643e-006,171.304,-0.00357632,4.27065e-005,38.7527,-0.00168948,2.90614e-005,3.43812
5.04,414.434,350000,7.68423e+006,1489.53,306.121,0.0440098,1,56451.6,1456.42,236.434,419976,7.7e+006,1715.94,314.992,0.0440098,1,3323.34,964.815,213.571,3.194e-007,0.023779,0.487139,3.18727e-006,171.3,-0.00357629,4.2708e-005,38.7607,-0.00169172,2.90789e-005,3.44453
5.06,414.43,350000,7.68413e+006,1489.54,306.12,0.0440098,1,56466,1456.48,236.623,419865,7.7e+006,1715.59,314.959,0.0440098,1,3331.03,965.244,213.504,3.19942e-007,0.0238465,0.487265,3.18811e-006,171.297,-0.00357626,4.27096e-005,38.7688,-0.00169396,2.90964e-005,3.45097
5.08,414.425,350000,7.68402e+006,1489.54,306.119,0.0440098,1,56480.6,1456.55,236.812,419753,7.7e+006,1715.24,314.925,0.0440098,1,3338.74,965.673,213.437,3.20486e-007,0.0239143,0.487393,3.18896e-006,171.293,-0.00357623,4.27111e-005,38.777,-0.0016962,2.91139e-005,3.45743
5.1,414.421,350000,7.68391e+006,1489.54,306.119,0.0440098,1,56495.4,1456.62,237.001,419642,7.7e+006,1714.88,314.892,0.0440098,1,3346.49,966.103,213.37,3.21032e-007,0.0239824,0.487521,3.18983e-006,171.289,-0.00357621,4.27127e-005,38.7853,-0.00169845,2.91315e-005,3.46391
5.12,414.416,350000,7.68381e+006,1489.54,306.118,0.0440098,1,56510.3,1456.69,237.19,419531,7.7e+006,1714.53,314.859,0.0440098,1,3354.27,966.534,213.304,3.2158e-007,0.0240507,0.487652,3.1907e-006,171.285,-0.00357618,4.27143e-005,38.7937,-0.00170069,2.9149e-005,3.47041
5.14,414.412,350000,7.6837e+006,1489.54,306.117,0.0440098,1,56525.3,1456.76,237.379,419420,7.7e+006,1714.18,314.826,0.0440098,1,3362.07,966.965,213.237,3.2213e-007,0.0241193,0.487783,3.19158e-006,171.281,-0.00357615,4.27159e-005,38.8022,-0.00170294,2.91665e-005,3.47694
5.16,414.407,350000,7.68358e+006,1489.54,306.117,0.0440098,1,56540.6,1456.83,237.568,419308,7.7e+006,1713.82,314.793,0.0440098,1,3369.91,967.397,213.17,3.22681e-007,0.0241881,0.487917,3.19248e-006,171.277,-0.00357612,4.27175e-005,38.8108,-0.00170518,2.9184e-005,3.48348
5.18,414.402,350000,7.68347e+006,1489.54,306.116,0.0440098,1,56556,1456.9,237.757,419198,7.7e+006,1713.47,314.76,0.0440098,1,3377.78,967.83,213.103,3.23234e-007,0.0242571,0.488051,3.19338e-006,171.273,-0.00357609,4.27192e-005,38.8195,-0.00170743,2.92015e-005,3.49005
5.2,414.397,350000,7.68336e+006,1489.54,306.115,0.0440098,1,56571.6,1456.97,237.947,419087,7.7e+006,1713.12,314.727,0.0440098,1,3385.67,968.263,213.037,3.23789e-007,0.0243265,0.488188,3.19429e-006,171.269,-0.00357606,4.27208e-005,38.8283,-0.00170968,2.9219e-005,3.49665
5.22,414.392,350000,7.68324e+006,1489.54,306.114,0.0440098,1,56587.4,1457.04,238.136,418976,7.7e+006,1712.77,314.694,0.0440098,1,3393.6,968.697,212.97,3.24346e-007,0.0243961,0.488326,3.19522e-006,171.265,-0.00357603,4.27225e-005,38.8372,-0.00171193,2.92365e-005,3.50326
5.24,414.387,350000,7.68313e+006,1489.54,306.114,0.0440098,1,56603.4,1457.12,238.326,418865,7.7e+006,1712.42,314.662,0.0440098,1,3401.56,969.132,212.904,3.24905e-007,0.0244659,0.488465,3.19615e-006,171.26,-0.003576,4.27242e-005,38.8462,-0.00171418,2.9254e-005,3.5099
5.26,414.382,350000,7.68301e+006,1489.54,306.113,0.0440098,1,56619.5,1457.19,238.516,418754,7.7e+006,1712.06,314.629,0.0440098,1,3409.54,969.567,212.837,3.25466e-007,0.0245361,0.488606,3.1971e-006,171.256,-0.00357597,4.2726e-005,38.8553,-0.00171643,2.92715e-005,3.51656
5.28,414.377,350000,7.68289e+006,1489.55,306.112,0.0440098,1,56635.9,1457.27,238.706,418644,7.7e+006,1711.71,314.597,0.0440098,1,3417.56,970.004,212.771,3.26029e-007,0.0246064,0.488749,3.19806e-006,171.252,-0.00357594,4.27277e-005,38.8645,-0.00171868,2.9289e-005,3.52325
5.3,414.372,350000,7.68277e+006,1489.55,306.111,0.0440098,1,56652.4,1457.34,238.896,418533,7.7e+006,1711.36,314.565,0.0440098,1,3425.61,970.44,212.704,3.26593e-007,0.0246771,0.488894,3.19902e-006,171.248,-0.00357591,4.27295e-005,38.8738,-0.00172094,2.93065e-005,3.52995
5.32,414.367,350000,7.68265e+006,1489.55,306.111,0.0440098,1,56669.2,1457.42,239.086,418423,7.7e+006,1711.01,314.532,0.0440098,1,3433.69,970.878,212.638,3.2716e-007,0.024748,0.48904,3.2e-006,171.243,-0.00357588,4.27312e-005,38.8832,-0.00172319,2.9324e-005,3.53669
5.34,414.362,350000,7.68253e+006,1489.55,306.11,0.0440098,1,56686.1,1457.5,239.277,418312,7.7e+006,1710.66,314.5,0.0440098,1,3441.8,971.316,212.572,3.27728e-007,0.0248192,0.489188,3.201e-006,171.239,-0.00357584,4.2733e-005,38.8927,-0.00172545,2.93415e-005,3.54344
5.36,414.356,350000,7.6824e+006,1489.55,306.109,0.0440098,1,56703.3,1457.58,239.467,418202,7.7e+006,1710.31,314.468,0.0440098,1,3449.94,971.755,212.505,3.28299e-007,0.0248906,0.489338,3.202e-006,171.234,-0.00357581,4.27349e-005,38.9024,-0.00172771,2.9359e-005,3.55022
5.38,414.351,350000,7.68228e+006,1489.55,306.108,0.0440098,1,56720.6,1457.66,239.658,418092,7.7e+006,1709.96,314.436,0.0440098,1,3458.12,972.195,212.439,3.28871e-007,0.0249624,0.48949,3.20302e-006,171.23,-0.00357578,4.27367e-005,38.9122,-0.00172997,2.93765e-005,3.55702
5.4,414.346,350000,7.68215e+006,1489.55,306.107,0.0440098,1,56738.2,1457.74,239.848,417982,7.7e+006,1709.61,314.404,0.0440098,1,3466.32,972.635,212.373,3.29445e-007,0.0250344,0.489643,3.20405e-006,171.225,-0.00357575,4.27386e-005,38.9221,-0.00173222,2.9394e-005,3.56385
5.42,414.34,350000,7.68202e+006,1489.55,306.107,0.0440098,1,56756,1457.82,240.039,417872,7.7e+006,1709.26,314.373,0.0440098,1,3474.56,973.076,212.307,3.30021e-007,0.0251066,0.489798,3.20509e-006,171.22,-0.00357571,4.27405e-005,38.9321,-0.00173449,2.94114e-005,3.5707
5.44,414.335,350000,7.68189e+006,1489.55,306.106,0.0440098,1,56774,1457.9,240.23,417762,7.7e+006,1708.91,314.341,0.0440098,1,3482.83,973.518,212.241,3.306e-007,0.0251792,0.489956,3.20614e-006,171.216,-0.00357568,4.27424e-005,38.9422,-0.00173675,2.94289e-005,3.57757
5.46,414.329,350000,7.68176e+006,1489.55,306.105,0.0440098,1,56792.2,1457.99,240.421,417652,7.7e+006,1708.56,314.31,0.0440098,1,3491.13,973.961,212.175,3.3118e-007,0.025252,0.490115,3.20721e-006,171.211,-0.00357564,4.27443e-005,38.9525,-0.00173901,2.94464e-005,3.58447
5.48,414.323,350000,7.68163e+006,1489.55,306.104,0.0440098,1,56810.7,1458.07,240.612,417542,7.7e+006,1708.21,314.278,0.0440098,1,3499.47,974.404,212.109,3.31762e-007,0.0253251,0.490276,3.20829e-006,171.206,-0.00357561,4.27463e-005,38.9628,-0.00174128,2.94639e-005,3.59139
5.5,414.317,350000,7.68149e+006,1489.56,306.103,0.0440098,1,56829.3,1458.16,240.804,417432,7.7e+006,1707.86,314.247,0.0440098,1,3507.83,974.848,212.043,3.32346e-007,0.0253985,0.490439,3.20938e-006,171.201,-0.00357557,4.27483e-005,38.9734,-0.00174354,2.94814e-005,3.59834
5.52,414.312,350000,7.68136e+006,1489.56,306.102,0.0440098,1,56848.3,1458.25,240.995,417322,7.7e+006,1707.51,314.216,0.0440098,1,3516.23,975.293,211.977,3.32932e-007,0.0254721,0.490604,3.21049e-006,171.196,-0.00357554,4.27503e-005,38.984,-0.00174581,2.94989e-005,3.60531
5.54,414.306,350000,7.68122e+006,1489.56,306.102,0.0440098,1,56867.4,1458.33,241.187,417213,7.7e+006,1707.16,314.184,0.0440098,1,3524.66,975.738,211.911,3.33521e-007,0.0255461,0.490772,3.21161e-006,171.191,-0.0035755,4.27523e-005,38.9948,-0.00174807,2.95163e-005,3.61231
5.56,414.3,350000,7.68108e+006,1489.56,306.101,0.0440098,1,56886.8,1458.42,241.378,417103,7.7e+006,1706.81,314.153,0.0440098,1,3533.13,976.185,211.846,3.34111e-007,0.0256203,0.490941,3.21274e-006,171.186,-0.00357547,4.27544e-005,39.0057,-0.00175034,2.95338e-005,3.61933
5.58,414.294,350000,7.68094e+006,1489.56,306.1,0.0440098,1,56906.4,1458.51,241.57,416993,7.7e+006,1706.46,314.122,0.0440098,1,3541.63,976.631,211.78,3.34703e-007,0.0256948,0.491113,3.21389e-006,171.181,-0.00357543,4.27565e-005,39.0167,-0.00175261,2.95513e-005,3.62637
5.6,414.288,350000,7.6808e+006,1489.56,306.099,0.0440098,1,56926.3,1458.61,241.762,416884,7.7e+006,1706.11,314.092,0.0440098,1,3550.16,977.079,211.714,3.35297e-007,0.0257696,0.491286,3.21506e-006,171.176,-0.00357539,4.27586e-005,39.0279,-0.00175488,2.95688e-005,3.63344
5.62,414.281,350000,7.68065e+006,1489.56,306.098,0.0440098,1,56946.5,1458.7,241.954,416775,7.7e+006,1705.77,314.061,0.0440098,1,3558.73,977.527,211.648,3.35894e-007,0.0258447,0.491462,3.21624e-006,171.171,-0.00357535,4.27607e-005,39.0393,-0.00175716,2.95862e-005,3.64054
5.64,414.275,350000,7.68051e+006,1489.56,306.097,0.0440098,1,56966.9,1458.79,242.147,416665,7.7e+006,1705.42,314.03,0.0440098,1,3567.33,977.977,211.583,3.36492e-007,0.0259201,0.491641,3.21743e-006,171.165,-0.00357531,4.27629e-005,39.0507,-0.00175943,2.96037e-005,3.64766
5.66,414.269,350000,7.68036e+006,1489.56,306.096,0.0440098,1,56987.6,1458.89,242.339,416556,7.7e+006,1705.07,313.999,0.0440098,1,3575.96,978.426,211.517,3.37093e-007,0.0259958,0.491821,3.21864e-006,171.16,-0.00357527,4.27651e-005,39.0624,-0.0017617,2.96212e-005,3.65481
5.68,414.262,350000,7.68021e+006,1489.57,306.095,0.0440098,1,57008.5,1458.98,242.531,416447,7.7e+006,1704.72,313.969,0.0440098,1,3584.63,978.877,211.452,3.37696e-007,0.0260717,0.492004,3.21987e-006,171.154,-0.00357524,4.27673e-005,39.0741,-0.00176398,2.96387e-005,3.66198
5.7,414.256,350000,7.68006e+006,1489.57,306.094,0.0440098,1,57029.7,1459.08,242.724,416338,7.7e+006,1704.37,313.939,0.0440098,1,3593.33,979.328,211.386,3.383e-007,0.026148,0.492189,3.22111e-006,171.149,-0.0035752,4.27695e-005,39.0861,-0.00176626,2.96561e-005,3.66918
5.72,414.249,350000,7.6799e+006,1489.57,306.093,0.0440098,1,57051.2,1459.18,242.917,416229,7.7e+006,1704.03,313.908,0.0440098,1,3602.06,979.78,211.321,3.38907e-007,0.0262245,0.492377,3.22237e-006,171.143,-0.00357515,4.27718e-005,39.0982,-0.00176854,2.96736e-005,3.6764
5.74,414.243,350000,7.67975e+006,1489.57,306.092,0.0440098,1,57073,1459.28,243.11,416120,7.7e+006,1703.68,313.878,0.0440098,1,3610.84,980.233,211.255,3.39516e-007,0.0263014,0.492567,3.22364e-006,171.138,-0.00357511,4.27741e-005,39.1104,-0.00177081,2.96911e-005,3.68365
5.76,414.236,350000,7.67959e+006,1489.57,306.091,0.0440098,1,57095.1,1459.38,243.303,416011,7.7e+006,1703.33,313.848,0.0440098,1,3619.64,980.687,211.19,3.40127e-007,0.0263785,0.49276,3.22493e-006,171.132,-0.00357507,4.27764e-005,39.1228,-0.00177309,2.97085e-005,3.69092
5.78,414.229,350000,7.67943e+006,1489.57,306.09,0.0440098,1,57117.4,1459.48,243.496,415902,7.7e+006,1702.99,313.818,0.0440098,1,3628.48,981.141,211.125,3.40741e-007,0.026456,0.492955,3.22624e-006,171.126,-0.00357503,4.27788e-005,39.1354,-0.00177538,2.9726e-005,3.69823
5.8,414.222,350000,7.67927e+006,1489.57,306.089,0.0440098,1,57140.1,1459.59,243.689,415793,7.7e+006,1702.64,313.788,0.0440098,1,3637.36,981.596,211.059,3.41356e-007,0.0265337,0.493153,3.22757e-006,171.12,-0.00357499,4.27812e-005,39.1481,-0.00177766,2.97435e-005,3.70555
5.82,414.215,350000,7.6791e+006,1489.57,306.088,0.0440098,1,57163.1,1459.69,243.883,415684,7.7e+006,1702.29,313.758,0.0440098,1,3646.27,982.052,210.994,3.41974e-007,0.0266118,0.493354,3.22891e-006,171.114,-0.00357494,4.27836e-005,39.161,-0.00177994,2.97609e-005,3.71291
5.84,414.208,350000,7.67894e+006,1489.58,306.087,0.0440098,1,57186.4,1459.8,244.076,415576,7.7e+006,1701.95,313.728,0.0440098,1,3655.22,982.509,210.929,3.42593e-007,0.0266902,0.493557,3.23028e-006,171.108,-0.0035749,4.27861e-005,39.1741,-0.00178223,2.97784e-005,3.72029
5.86,414.201,350000,7.67877e+006,1489.58,306.086,0.0440098,1,57209.9,1459.91,244.27,415467,7.7e+006,1701.6,313.699,0.0440098,1,3664.2,982.966,210.864,3.43215e-007,0.0267688,0.493763,3.23166e-006,171.102,-0.00357486,4.27885e-005,39.1874,-0.00178451,2.97958e-005,3.7277
5.88,414.194,350000,7.6786e+006,1489.58,306.085,0.0440098,1,57233.9,1460.02,244.464,415359,7.7e+006,1701.25,313.669,0.0440098,1,3673.22,983.424,210.799,3.4384e-007,0.0268478,0.493972,3.23306e-006,171.096,-0.00357481,4.27911e-005,39.2008,-0.0017868,2.98133e-005,3.73513
5.9,414.186,350000,7.67843e+006,1489.58,306.084,0.0440098,1,57258.1,1460.13,244.657,415250,7.7e+006,1700.91,313.64,0.0440098,1,3682.27,983.883,210.734,3.44466e-007,0.0269271,0.494184,3.23448e-006,171.089,-0.00357476,4.27936e-005,39.2144,-0.00178909,2.98308e-005,3.74259
5.92,414.179,350000,7.67825e+006,1489.58,306.083,0.0440098,1,57282.7,1460.24,244.852,415142,7.7e+006,1700.56,313.61,0.0440098,1,3691.36,984.342,210.669,3.45095e-007,0.0270067,0.494399,3.23591e-006,171.083,-0.00357472,4.27962e-005,39.2283,-0.00179138,2.98482e-005,3.75008
5.94,414.171,350000,7.67808e+006,1489.58,306.082,0.0440098,1,57307.7,1460.36,245.046,415033,7.7e+006,1700.22,313.581,0.0440098,1,3700.49,984.803,210.604,3.45725e-007,0.0270866,0.494617,3.23737e-006,171.077,-0.00357467,4.27988e-005,39.2423,-0.00179367,2.98657e-005,3.7576
5.96,414.164,350000,7.6779e+006,1489.58,306.081,0.0440098,1,57332.9,1460.47,245.24,414925,7.7e+006,1699.87,313.552,0.0440098,1,3709.66,985.264,210.539,3.46359e-007,0.0271668,0.494837,3.23885e-006,171.07,-0.00357462,4.28015e-005,39.2565,-0.00179596,2.98831e-005,3.76514
5.98,414.156,350000,7.67772e+006,1489.59,306.079,0.0440098,1,57358.6,1460.59,245.435,414817,7.7e+006,1699.53,313.522,0.0440098,1,3718.86,985.726,210.474,3.46994e-007,0.0272474,0.495061,3.24035e-006,171.063,-0.00357458,4.28042e-005,39.2709,-0.00179825,2.99006e-005,3.77271
6,414.148,350000,7.67753e+006,1489.59,306.078,0.0440098,1,57384.6,1460.71,245.629,414709,7.7e+006,1699.18,313.493,0.0440098,1,3728.1,986.188,210.409,3.47632e-007,0.0273283,0.495288,3.24187e-006,171.057,-0.00357453,4.28069e-005,39.2855,-0.00180055,2.99181e-005,3.78031
6.02,414.14,350000,7.67735e+006,1489.59,306.077,0.0440098,1,57411,1460.83,245.824,414601,7.7e+006,1698.84,313.464,0.0440098,1,3737.37,986.652,210.344,3.48271e-007,0.0274094,0.495519,3.24342e-006,171.05,-0.00357448,4.28097e-005,39.3003,-0.00180284,2.99355e-005,3.78793
6.04,414.132,350000,7.67716e+006,1489.59,306.076,0.0440098,1,57437.7,1460.95,246.019,414492,7.7e+006,1698.49,313.436,0.0440098,1,3746.69,987.116,210.279,3.48914e-007,0.0274909,0.495752,3.24498e-006,171.043,-0.00357443,4.28125e-005,39.3153,-0.00180514,2.9953e-005,3.79559
6.06,414.124,350000,7.67697e+006,1489.59,306.075,0.0440098,1,57464.8,1461.07,246.214,414384,7.7e+006,1698.15,313.407,0.0440098,1,3756.04,987.581,210.214,3.49558e-007,0.0275728,0.495989,3.24657e-006,171.036,-0.00357438,4.28153e-005,39.3305,-0.00180744,2.99704e-005,3.80327
6.08,414.115,350000,7.67677e+006,1489.59,306.073,0.0440098,1,57492.4,1461.2,246.409,414277,7.7e+006,1697.8,313.378,0.0440098,1,3765.43,988.047,210.15,3.50205e-007,0.0276549,0.49623,3.24818e-006,171.029,-0.00357432,4.28182e-005,39.346,-0.00180974,2.99879e-005,3.81098
6.1,414.107,350000,7.67658e+006,1489.59,306.072,0.0440098,1,57520.3,1461.33,246.604,414169,7.7e+006,1697.46,313.349,0.0440098,1,3774.85,988.513,210.085,3.50854e-007,0.0277374,0.496473,3.24981e-006,171.022,-0.00357427,4.28211e-005,39.3617,-0.00181204,3.00053e-005,3.81872
6.12,414.098,350000,7.67638e+006,1489.6,306.071,0.0440098,1,57548.6,1461.46,246.8,414061,7.7e+006,1697.11,313.321,0.0440098,1,3784.32,988.981,210.02,3.51505e-007,0.0278203,0.496721,3.25147e-006,171.014,-0.00357422,4.28241e-005,39.3776,-0.00181434,3.00228e-005,3.82649
6.14,414.09,350000,7.67617e+006,1489.6,306.07,0.0440098,1,57577.4,1461.59,246.996,413953,7.7e+006,1696.77,313.293,0.0440098,1,3793.82,989.449,209.956,3.52159e-007,0.0279034,0.496972,3.25315e-006,171.007,-0.00357416,4.28271e-005,39.3937,-0.00181664,3.00402e-005,3.83428
6.16,414.081,350000,7.67597e+006,1489.6,306.068,0.0440098,1,57606.6,1461.72,247.191,413845,7.7e+006,1696.43,313.264,0.0440098,1,3803.37,989.918,209.891,3.52815e-007,0.0279869,0.497227,3.25486e-006,171,-0.00357411,4.28302e-005,39.4101,-0.00181894,3.00577e-005,3.84211
6.18,414.072,350000,7.67576e+006,1489.6,306.067,0.0440098,1,57636.2,1461.86,247.387,413738,7.7e+006,1696.08,313.236,0.0440098,1,3812.95,990.387,209.827,3.53474e-007,0.0280707,0.497485,3.25659e-006,170.992,-0.00357405,4.28332e-005,39.4267,-0.00182125,3.00752e-005,3.84996
6.2,414.063,350000,7.67555e+006,1489.6,306.066,0.0440098,1,57666.2,1461.99,247.583,413630,7.7e+006,1695.74,313.208,0.0440098,1,3822.57,990.858,209.762,3.54135e-007,0.0281549,0.497748,3.25835e-006,170.984,-0.003574,4.28364e-005,39.4436,-0.00182356,3.00926e-005,3.85784
6.22,414.054,350000,7.67534e+006,1489.6,306.064,0.0440098,1,57696.7,1462.13,247.779,413523,7.7e+006,1695.4,313.18,0.0440098,1,3832.23,991.329,209.698,3.54798e-007,0.0282394,0.498014,3.26013e-006,170.976,-0.00357394,4.28396e-005,39.4607,-0.00182586,3.01101e-005,3.86575
6.24,414.045,350000,7.67512e+006,1489.61,306.063,0.0440098,1,57727.7,1462.27,247.976,413415,7.7e+006,1695.05,313.152,0.0440098,1,3841.93,991.801,209.633,3.55464e-007,0.0283242,0.498284,3.26194e-006,170.969,-0.00357388,4.28428e-005,39.4781,-0.00182817,3.01275e-005,3.87369
6.26,414.035,350000,7.6749e+006,1489.61,306.062,0.0440098,1,57759.2,1462.42,248.172,413308,7.7e+006,1694.71,313.124,0.0440098,1,3851.67,992.274,209.569,3.56132e-007,0.0284094,0.498559,3.26378e-006,170.96,-0.00357382,4.28461e-005,39.4957,-0.00183048,3.0145e-005,3.88166
6.28,414.026,350000,7.67468e+006,1489.61,306.06,0.0440098,1,57791.1,1462.56,248.369,413201,7.7e+006,1694.37,313.096,0.0440098,1,3861.45,992.748,209.505,3.56803e-007,0.0284949,0.498838,3.26565e-006,170.952,-0.00357376,4.28494e-005,39.5136,-0.00183279,3.01624e-005,3.88966
6.3,414.016,350000,7.67445e+006,1489.61,306.059,0.0440098,1,57823.5,1462.71,248.566,413093,7.7e+006,1694.03,313.068,0.0440098,1,3871.28,993.222,209.44,3.57476e-007,0.0285808,0.499121,3.26754e-006,170.944,-0.0035737,4.28528e-005,39.5318,-0.0018351,3.01799e-005,3.89769
6.32,414.006,350000,7.67422e+006,1489.61,306.057,0.0440098,1,57856.4,1462.86,248.762,412986,7.7e+006,1693.68,313.04,0.0440098,1,3881.14,993.697,209.376,3.58151e-007,0.028667,0.499408,3.26947e-006,170.936,-0.00357364,4.28562e-005,39.5502,-0.00183742,3.01973e-005,3.90575
6.34,413.996,350000,7.67399e+006,1489.62,306.056,0.0440098,1,57889.9,1463.01,248.959,412879,7.7e+006,1693.34,313.013,0.0440098,1,3891.04,994.173,209.312,3.58829e-007,0.0287535,0.4997,3.27142e-006,170.927,-0.00357358,4.28597e-005,39.569,-0.00183973,3.02148e-005,3.91384
6.36,413.986,350000,7.67376e+006,1489.62,306.054,0.0440098,1,57923.8,1463.17,249.157,412772,7.7e+006,1693,312.985,0.0440098,1,3900.98,994.65,209.248,3.5951e-007,0.0288405,0.499996,3.27341e-006,170.918,-0.00357351,4.28632e-005,39.588,-0.00184205,3.02322e-005,3.92196
6.38,413.976,350000,7.67352e+006,1489.62,306.053,0.0440098,1,57958.3,1463.32,249.354,412665,7.7e+006,1692.66,312.958,0.0440098,1,3910.97,995.128,209.183,3.60193e-007,0.0289277,0.500298,3.27543e-006,170.91,-0.00357345,4.28668e-005,39.6074,-0.00184436,3.02497e-005,3.93012
6.4,413.966,350000,7.67327e+006,1489.62,306.051,0.0440098,1,57993.4,1463.48,249.551,412558,7.7e+006,1692.31,312.931,0.0440098,1,3920.99,995.606,209.119,3.60878e-007,0.0290154,0.500603,3.27748e-006,170.901,-0.00357338,4.28704e-005,39.627,-0.00184668,3.02672e-005,3.9383
6.42,413.955,350000,7.67303e+006,1489.62,306.05,0.0440098,1,58029,1463.64,249.749,412451,7.7e+006,1691.97,312.903,0.0440098,1,3931.06,996.085,209.055,3.61566e-007,0.0291033,0.500914,3.27956e-006,170.892,-0.00357332,4.28741e-005,39.647,-0.001849,3.02846e-005,3.94651
6.44,413.944,350000,7.67278e+006,1489.62,306.048,0.0440098,1,58065.2,1463.81,249.947,412344,7.7e+006,1691.63,312.876,0.0440098,1,3941.17,996.565,208.991,3.62257e-007,0.0291917,0.50123,3.28167e-006,170.882,-0.00357325,4.28778e-005,39.6672,-0.00185132,3.03021e-005,3.95475
6.46,413.933,350000,7.67252e+006,1489.63,306.046,0.0440098,1,58101.9,1463.97,250.145,412237,7.7e+006,1691.29,312.849,0.0440098,1,3951.32,997.046,208.927,3.6295e-007,0.0292804,0.501551,3.28382e-006,170.873,-0.00357318,4.28816e-005,39.6878,-0.00185364,3.03195e-005,3.96303
6.48,413.922,350000,7.67227e+006,1489.63,306.045,0.0440098,1,58139.3,1464.14,250.343,412130,7.7e+006,1690.95,312.822,0.0440098,1,3961.52,997.528,208.863,3.63645e-007,0.0293695,0.501877,3.286e-006,170.864,-0.00357311,4.28855e-005,39.7088,-0.00185597,3.0337e-005,3.97133
6.5,413.911,350000,7.672e+006,1489.63,306.043,0.0440098,1,58177.3,1464.31,250.541,412023,7.7e+006,1690.61,312.795,0.0440098,1,3971.75,998.01,208.799,3.64343e-007,0.0294589,0.502208,3.28822e-006,170.854,-0.00357304,4.28894e-005,39.73,-0.00185829,3.03544e-005,3.97967
6.52,413.9,350000,7.67174e+006,1489.63,306.042,0.0440098,1,58215.8,1464.49,250.739,411917,7.7e+006,1690.27,312.768,0.0440098,1,3982.03,998.494,208.735,3.65044e-007,0.0295487,0.502545,3.29048e-006,170.844,-0.00357297,4.28934e-005,39.7516,-0.00186061,3.03719e-005,3.98804
6.54,413.888,350000,7.67147e+006,1489.64,306.04,0.0440098,1,58255.1,1464.67,250.938,411810,7.7e+006,1689.92,312.742,0.0440098,1,3992.35,998.978,208.671,3.65748e-007,0.0296389,0.502888,3.29277e-006,170.834,-0.00357289,4.28974e-005,39.7736,-0.00186294,3.03894e-005,3.99644
6.56,413.876,350000,7.6712e+006,1489.64,306.038,0.0440098,1,58295,1464.85,251.137,411704,7.7e+006,1689.58,312.715,0.0440098,1,4002.72,999.463,208.607,3.66454e-007,0.0297294,0.503236,3.2951e-006,170.824,-0.00357282,4.29015e-005,39.7959,-0.00186527,3.04068e-005,4.00487
6.58,413.865,350000,7.67092e+006,1489.64,306.036,0.0440098,1,58335.5,1465.03,251.336,411597,7.7e+006,1689.24,312.688,0.0440098,1,4013.13,999.949,208.544,3.67162e-007,0.0298203,0.50359,3.29747e-006,170.814,-0.00357274,4.29057e-005,39.8186,-0.0018676,3.04243e-005,4.01334
6.6,413.852,350000,7.67064e+006,1489.64,306.035,0.0440098,1,58376.8,1465.22,251.535,411491,7.7e+006,1688.9,312.662,0.0440098,1,4023.58,1000.44,208.48,3.67874e-007,0.0299116,0.50395,3.29989e-006,170.804,-0.00357267,4.291e-005,39.8417,-0.00186993,3.04417e-005,4.02183
