Time,Gascooler_Valve_System.HPValve.vleFluidB.d,Gascooler_Valve_System.HPValve.vleFluidB.h,Gascooler_Valve_System.HPValve.vleFluidB.p,Gascooler_Valve_System.HPValve.vleFluidB.s,Gascooler_Valve_System.HPValve.vleFluidB.T,Gascooler_Valve_System.HPValve.vleFluidB.M,Gascooler_Valve_System.HPValve.vleFluidB.q,Gascooler_Valve_System.HPValve.vleFluidB.cp,Gascooler_Valve_System.HPValve.vleFluidB.cv,Gascooler_Valve_System.HPValve.vleFluidA.d,Gascooler_Valve_System.HPValve.vleFluidA.h,Gascooler_Valve_System.HPValve.vleFluidA.p,Gascooler_Valve_System.HPValve.vleFluidA.s,Gascooler_Valve_System.HPValve.vleFluidA.T,Gascooler_Valve_System.HPValve.vleFluidA.M,Gascooler_Valve_System.HPValve.vleFluidA.q,Gascooler_Valve_System.HPValve.vleFluidA.cp,Gascooler_Valve_System.HPValve.vleFluidA.cv,Gascooler_Valve_System.HPValve.vleFluidA.w,Gascooler_Valve_System.HPValve.vleFluidA.kappa,Gascooler_Valve_System.HPValve.vleFluidA.beta,Gascooler_Valve_System.HPValve.vleFluidB.beta,Gascooler_Valve_System.HPValve.vleFluidB.kappa,Gascooler_Valve_System.HPValve.vleFluidB.w,Gascooler_Valve_System.HPValve.vleFluidB.drhodh_pxi,Gascooler_Valve_System.HPValve.vleFluidB.drhodp_hxi,Gascooler_Valve_System.HPValve.vleFluidB.gamma,Gascooler_Valve_System.HPValve.vleFluidA.drhodh_pxi,Gascooler_Valve_System.HPValve.vleFluidA.drhodp_hxi,Gascooler_Valve_System.HPValve.vleFluidA.gamma
0.24,347.487,350000,6.77378e+006,1497.36,300.394,0.0440098,0.647145,11888.5,4332.79,727.086,276035,7.7e+006,1246.78,300.936,0.0440098,0,4633.77,1014,313.095,6.41145e-008,0.0236796,0.106467,6.36286e-007,117.317,-0.00259625,8.0128e-005,3.0431,-0.00371557,1.53113e-005,4.56978
0.26,341.959,350000,6.7042e+006,1498.03,299.942,0.0440098,0.641814,10622.8,4307.58,719.517,278057,7.7e+006,1253.49,301.362,0.0440098,0,4852.29,1020.88,305.543,7.07598e-008,0.0254419,0.0958987,5.65436e-007,118.36,-0.00254175,7.88151e-005,2.70874,-0.00377262,1.59549e-005,4.75306
0.28,336.626,350000,6.63603e+006,1498.7,299.496,0.0440098,0.63753,9626.84,4288.43,711.51,280162,7.7e+006,1260.48,301.785,0.0440098,0,5109.58,1028.6,297.715,7.87688e-008,0.0275297,0.0876195,5.09916e-007,119.319,-0.00248939,7.76343e-005,2.44381,-0.00383351,1.66701e-005,4.9675
0.3,331.509,350000,6.56965e+006,1499.37,299.057,0.0440098,0.634067,8827.76,4274.12,703.06,282348,7.7e+006,1267.71,302.201,0.0440098,0,5414.5,1037.26,289.646,8.84997e-008,0.0300206,0.0810113,4.65581e-007,120.205,-0.00243935,7.65666e-005,2.23014,-0.0038981,1.74642e-005,5.21998
0.32,326.616,350000,6.50533e+006,1500.02,298.628,0.0440098,0.631254,8175.91,4263.68,694.165,284610,7.7e+006,1275.19,302.606,0.0440098,0,5778.22,1046.96,281.38,1.00418e-007,0.0330132,0.0756528,4.29606e-007,121.024,-0.0023917,7.55965e-005,2.05519,-0.00396603,1.83437e-005,5.51904
0.34,321.973,350000,6.44356e+006,1500.66,298.213,0.0440098,0.628971,7638.88,4256.37,684.816,286947,7.7e+006,1282.91,302.996,0.0440098,0,6215.53,1057.79,272.963,1.15158e-007,0.0366392,0.0712677,4.00138e-007,121.782,-0.00234668,7.47155e-005,1.91071,-0.00403685,1.9316e-005,5.87594
0.36,317.64,350000,6.38524e+006,1501.27,297.818,0.0440098,0.627135,7196.5,4251.58,675.015,289353,7.7e+006,1290.85,303.368,0.0440098,0,6745.29,1069.86,264.454,1.33555e-007,0.0410677,0.0676814,3.7601e-007,122.475,-0.00230483,7.39227e-005,1.79153,-0.00410973,2.03871e-005,6.30482
0.38,313.661,350000,6.33116e+006,1501.85,297.448,0.0440098,0.625673,6832.56,4248.8,664.759,291826,7.7e+006,1299,303.718,0.0440098,0,7392.56,1083.27,255.916,1.56747e-007,0.046525,0.0647531,3.56281e-007,123.099,-0.00226656,7.32179e-005,1.69342,-0.00418365,2.15623e-005,6.82429
0.4,310.084,350000,6.2821e+006,1502.38,297.111,0.0440098,0.624524,6535.08,4247.56,654.048,294364,7.7e+006,1307.35,304.045,0.0440098,0,8191.15,1098.16,247.409,1.8631e-007,0.0533174,0.0623771,3.40251e-007,123.652,-0.00223228,7.26015e-005,1.61318,-0.00425729,2.2846e-005,7.45896
0.42,306.95,350000,6.23878e+006,1502.85,296.811,0.0440098,0.623634,6294.73,4247.3,642.888,296963,7.7e+006,1315.89,304.345,0.0440098,1,9186.64,1114.71,238.994,2.24432e-007,0.0618608,0.0604712,3.27372e-007,124.133,-0.00220234,7.20723e-005,1.5484,-0.00432907,2.42413e-005,8.24129
